272930	2.842
272936	5.99
273013	5.668
273017	15.994
273150	0.385
273158	50.239
273290	0.004
273291	2.757
273292	0.008
273294	0.0
273295	0.0
273299	1.753
273301	22.696
273302	16.319
273402	6.585
273403	1.821
273404	0.611
273405	0.833
273406	3.774
273407	0.0
273408	0.18
273409	9.442
273410	2.729
273411	0.735
273425	26.758
273426	2.037
273446	2.141
273447	25.976
273448	22.661
273449	11.726
273450	32.39
273492	12.223
273493	10.495
273494	8.433
273502	46.947
273503	25.345
273523	0.003
273526	0.0
273537	0.012
273554	26.672
273555	12.154
273589	0.007
273590	0.009
273592	0.01
273725	154.73
273728	4.897
273730	108.149
274094	9.735
274102	0.0
274103	0.0
274104	0.0
274105	0.0
274106	0.0
274107	0.0
274108	0.0
274146	5.372
274157	39.36
274159	3.561
274160	17.146
274161	42.175
274172	5.249
274198	10.905
274199	64.926
274200	60.543
274240	9.953
274241	124.74
274243	0.205
274244	57.756
274250	94.771
274251	65.222
274283	0.35
274284	29.983
274285	0.036
274286	21.668
274314	9.514
274315	66.475
274316	130.421
274317	0.301
274318	0.005
274319	27.302
274335	142.702
274336	1.742
274337	1.782
274338	88.971
274339	10.806
274344	70.541
274345	17.733
274382	7.428
274387	58.231
274388	254.143
274420	28.086
274421	53.902
274422	277.137
274440	63.546
274441	63.938
274442	99.071
274443	6.157
274954	0.964
274955	4.771
274957	1.989
274958	15.042
274959	14.007
274967	2.528
274968	193.776
274969	126.581
274970	4.299
274971	97.617
274998	113.024
274999	162.759
275000	15.808
275001	197.994
275059	10.702
275062	0.063
275063	0.019
275064	5.877
275066	18.302
275067	71.046
275068	142.426
275073	68.167
275074	75.958
275124	56.104
275125	149.29
275282	14.753
275283	22.215
275284	17.863
275285	0.125
275286	13.947
275289	1.073
275290	7.953
275291	51.239
275292	15.533
275293	25.042
275309	81.969
275310	221.971
275311	107.143
275319	24.399
275337	68.318
275338	75.04
275344	50.207
275345	59.317
275370	51.557
275371	94.042
275375	205.472
275376	323.164
275657	18.471
275658	59.232
275659	3.171
275757	3.297
275758	0.803
275759	1.204
275761	1.667
275767	0.714
275772	10.204
275773	1.181
275774	55.059
275776	23.256
275777	47.915
275778	45.727
275781	4.156
275782	99.673
275828	11.109
275829	7.153
275831	16.269
275832	72.629
275833	46.889
275834	51.936
275835	2.069
275836	186.76
275837	83.442
275841	5.34
275846	0.6
275847	198.947
275886	8.96
275887	9.199
275890	235.22
275911	73.583
275912	51.914
275913	76.635
275918	53.984
275920	61.253
275921	2.69
275922	0.274
275923	15.909
275931	10.913
275963	19.774
276064	0.108
276092	14.768
276095	0.216
276097	99.405
276242	272.679
276243	78.093
